dictionary,term,semantic_role,source_file,patients_with_term_full_report,patients_with_term_model_window,requires_negation_or_context_handling,allowed_c16_mea_use,allowed_as_patient_target,prohibited_use
benign_nodular,低回声结节,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,505,452,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,内部回声均匀,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,116,44,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,后方回声无明显改变,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,300,134,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,囊,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,152,23,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,形态规则,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,96,29,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,无回声,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,198,111,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,未见明显血流,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,67,19,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,未见血流,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,81,35,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,椭圆,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,342,327,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,结节,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,647,620,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,边界清,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,475,286,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
benign_nodular,边界清晰,nonspecific_or_benign_morphology,analyze_phase_c11_report_filter_hypotheses.py,97,32,0,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diagnostic_hint,HT,diagnostic_support_hint,build_evidence_weak_labels.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diagnostic_hint,慢性淋巴细胞性甲状腺炎,diagnostic_support_hint,build_evidence_weak_labels.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diagnostic_hint,桥本,diagnostic_support_hint,build_evidence_weak_labels.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diagnostic_hint,桥本甲状腺炎,diagnostic_support_hint,build_evidence_weak_labels.py,0,0,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diffuse_ht_like,体积增大,support_or_morphology,analyze_phase_c11_report_filter_hypotheses.py,53,28,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diffuse_ht_like,回声不均,support_or_morphology,analyze_phase_c11_report_filter_hypotheses.py,486,459,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diffuse_ht_like,回声粗糙,support_or_morphology,analyze_phase_c11_report_filter_hypotheses.py,27,21,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
diffuse_ht_like,实质回声不均,support_or_morphology,analyze_phase_c11_report_filter_hypotheses.py,315,310,1,character-position mask for guided pooling plus learned empty-mask fallback,0,"weak-label BCE, image pseudo-label, or guaranteed clinical slot claim"
